TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate
190,1520,1635,4.935e+06,39522,0
191,1533,1651,5.011e+06,38591,0
192,1539,1662,5.08765e+06,37687,0
193,1559,1684,5.1646e+06,36805,0
194,1562,1697,5.24255e+06,35930,0
195,1562,1704,5.32065e+06,35068,0
196,1572,1721,5.39875e+06,34213,0
197,1586,1742,5.47735e+06,33359,0
198,1594,1754,5.55665e+06,32519,0
199,1602,1766,5.63635e+06,31689,0
200,1597,1774,5.71645e+06,30874,0
201,1599,1784,5.7963e+06,30068,0
202,1600,1794,5.87625e+06,29284,0
203,1604,1811,5.95625e+06,28512,0
204,1601,1823,6.03645e+06,27753,0
205,1607,1836,6.1165e+06,27014,0
206,1610,1850,6.19685e+06,26279,0
207,1613,1862,6.27735e+06,25568,0
208,1619,1874,6.358e+06,24866,0
209,1614,1884,6.43895e+06,24183,0
210,1613,1893,6.51965e+06,23517,0
211,1608,1907,6.6003e+06,22882,0
212,1606,1917,6.6807e+06,22248,0
213,1599,1926,6.761e+06,21611,0
214,1587,1933,6.84095e+06,21023,0
215,1576,1943,6.9203e+06,20430,0
216,1566,1950,6.9991e+06,19858,0
217,1559,1958,7.0774e+06,19297,0
218,1556,1971,7.15535e+06,18747,0
219,1551,1982,7.23315e+06,18210,0
220,1535,1988,7.3107e+06,17674,0
221,1525,1998,7.38745e+06,17168,0
222,1513,2005,7.4637e+06,16663,0
223,1495,2009,7.53935e+06,16176,0
224,1482,2016,7.6141e+06,15723,0
225,1459,2020,7.6882e+06,15267,0
226,1447,2025,7.76115e+06,14815,0
227,1444,2037,7.8335e+06,14392,0
228,1429,2044,7.9057e+06,13982,0
229,1416,2048,7.97715e+06,13575,0
230,1400,2054,8.04795e+06,13190,0
231,1384,2056,8.11795e+06,12822,0
232,1355,2059,8.18715e+06,12463,0
233,1335,2064,8.2549e+06,12115,0
234,1314,2071,8.32165e+06,11770,0
235,1291,2078,8.38735e+06,11448,0
236,1265,2084,8.4519e+06,11139,0
237,1249,2091,8.51515e+06,10813,0
238,1228,2095,8.5776e+06,10498,0
239,1209,2103,8.639e+06,10177,0
240,1198,2106,8.69945e+06,9868,0
241,1166,2110,8.75935e+06,9574,0
242,1149,2116,8.81765e+06,9280,0
243,1134,2121,8.8751e+06,8980,0
244,1117,2130,8.9318e+06,8683,0
245,1098,2135,8.98765e+06,8394,0
246,1075,2138,9.04255e+06,8098,0
247,1059,2141,9.0963e+06,7830,0
248,1038,2147,9.14925e+06,7563,0
249,1014,2151,9.20115e+06,7305,0
250,993,2153,9.25185e+06,7047,0
251,972,2155,9.3015e+06,6804,0
252,946,2156,9.3501e+06,6561,0
253,922,2157,9.3974e+06,6326,0
254,906,2159,9.4435e+06,6093,0
255,875,2161,9.4888e+06,5884,0
256,856,2163,9.53255e+06,5685,0
257,841,2165,9.57535e+06,5492,0
258,831,2170,9.6174e+06,5310,0
259,808,2172,9.65895e+06,5129,0
260,783,2174,9.69935e+06,4957,0
261,761,2175,9.7385e+06,4784,0
262,747,2178,9.77655e+06,4611,0
263,725,2181,9.8139e+06,4444,0
264,707,2182,9.85015e+06,4277,0
265,694,2186,9.8855e+06,4112,0
266,681,2188,9.9202e+06,3961,0
267,665,2190,9.95425e+06,3814,0
268,652,2191,9.9875e+06,3670,0
269,635,2191,1.00201e+07,3526,0
270,609,2192,1.00518e+07,3388,0
271,598,2195,1.00823e+07,3254,0
272,582,2198,1.01122e+07,3127,0
273,569,2202,1.01413e+07,3001,0
274,552,2204,1.01698e+07,2880,0
275,533,2204,1.01974e+07,2766,0
276,509,2205,1.0224e+07,2647,0
277,495,2206,1.02494e+07,2539,0
278,486,2207,1.02742e+07,2434,0
279,473,2207,1.02985e+07,2336,0
280,455,2208,1.03222e+07,2240,0
281,439,2213,1.03449e+07,2147,0
282,432,2215,1.03668e+07,2062,0
283,417,2216,1.03884e+07,1988,0
284,406,2217,1.04093e+07,1909,0
285,395,2217,1.04296e+07,1844,0
286,386,2217,1.04494e+07,1783,0
287,373,2218,1.04686e+07,1717,0
288,365,2219,1.04873e+07,1652,0
289,354,2219,1.05056e+07,1590,0
290,344,2219,1.05232e+07,1535,0
291,334,2220,1.05404e+07,1483,0
292,330,2220,1.05572e+07,1430,0
293,321,2221,1.05736e+07,1381,0
294,313,2221,1.05897e+07,1332,0
295,308,2224,1.06054e+07,1285,0
296,306,2226,1.06208e+07,1231,0
297,292,2226,1.0636e+07,1172,0
298,282,2226,1.06506e+07,1126,0
299,277,2226,1.06648e+07,1080,0
300,266,2227,1.06786e+07,1034,0
301,258,2228,1.06919e+07,991,0
302,252,2228,1.07048e+07,947,0
303,240,2228,1.07174e+07,906,0
304,231,2229,1.07294e+07,864,0
305,225,2229,1.0741e+07,822,0
306,215,2230,1.07522e+07,782,0
307,201,2230,1.0763e+07,739,0
308,194,2230,1.0773e+07,697,0
309,189,2230,1.07827e+07,664,0
310,187,2231,1.07922e+07,629,0
311,179,2231,1.08015e+07,600,0
312,171,2231,1.08104e+07,576,0
313,160,2232,1.0819e+07,552,0
314,156,2232,1.0827e+07,528,0
315,149,2232,1.08348e+07,508,0
316,141,2233,1.08422e+07,485,0
317,136,2234,1.08493e+07,464,0
318,130,2234,1.08561e+07,444,0
319,129,2234,1.08626e+07,424,0
320,124,2234,1.0869e+07,406,0
321,120,2234,1.08752e+07,388,0
322,114,2235,1.08812e+07,372,0
323,110,2235,1.0887e+07,352,0
324,105,2235,1.08924e+07,333,0
325,103,2236,1.08977e+07,313,0
326,97,2237,1.09028e+07,298,0
327,96,2237,1.09077e+07,282,0
328,91,2237,1.09125e+07,268,0
329,87,2237,1.0917e+07,255,0
330,85,2238,1.09214e+07,242,0
331,84,2238,1.09256e+07,232,0
332,81,2238,1.09298e+07,219,0
333,76,2238,1.09339e+07,212,0
334,74,2238,1.09377e+07,203,0
335,72,2238,1.09414e+07,196,0
336,72,2238,1.0945e+07,190,0
337,71,2238,1.09486e+07,185,0
338,69,2238,1.09522e+07,179,0
339,67,2238,1.09556e+07,176,0
340,66,2238,1.0959e+07,170,0
341,66,2238,1.09622e+07,165,0
342,64,2238,1.09656e+07,162,0
343,63,2238,1.09688e+07,158,0
344,58,2238,1.09719e+07,155,0
345,56,2238,1.09748e+07,151,0
346,52,2238,1.09776e+07,149,0
347,49,2238,1.09802e+07,148,0
348,46,2238,1.09826e+07,144,0
349,45,2238,1.0985e+07,142,0
350,43,2238,1.09872e+07,141,0
351,39,2238,1.09894e+07,138,0
352,39,2238,1.09913e+07,135,0
353,36,2238,1.09932e+07,132,0
354,34,2238,1.0995e+07,129,0
355,33,2238,1.09968e+07,128,0
356,32,2238,1.09984e+07,125,0
357,31,2238,1.1e+07,124,0
358,30,2238,1.10016e+07,124,0
359,29,2238,1.1003e+07,123,0
360,28,2238,1.10045e+07,122,0
361,25,2238,1.10059e+07,122,0
362,24,2238,1.10072e+07,122,0
363,23,2238,1.10084e+07,122,0
364,22,2238,1.10095e+07,122,0
365,19,2238,1.10106e+07,122,0
366,17,2238,1.10116e+07,122,0
367,17,2238,1.10124e+07,122,0
368,16,2238,1.10132e+07,122,0
369,15,2238,1.1014e+07,122,0
370,15,2238,1.10148e+07,122,0
371,15,2238,1.10156e+07,122,0
372,13,2238,1.10163e+07,122,0
373,9,2238,1.1017e+07,122,0
374,9,2238,1.10174e+07,122,0
375,8,2238,1.10178e+07,122,0
376,7,2238,1.10182e+07,122,0
377,7,2238,1.10186e+07,122,0
378,3,2238,1.1019e+07,122,0
379,3,2238,1.10191e+07,122,0
380,3,2238,1.10192e+07,122,0
381,3,2238,1.10194e+07,122,0
382,2,2238,1.10196e+07,122,0
383,0,2238,1.10196e+07,122,0
