TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate
171,2094,3996,2.56134e+06,1487.32,256134
172,2065,3997,2.58228e+06,1435.69,258228
173,2032,3997,2.60293e+06,1383.71,260293
174,2004,3997,2.62325e+06,1336.5,262325
175,1970,3997,2.64329e+06,1291.52,264329
176,1937,3997,2.66299e+06,1249.87,266299
177,1915,3997,2.68236e+06,1209.81,268236
178,1898,3997,2.70151e+06,1173,270151
179,1870,3997,2.72049e+06,1138.76,272049
180,1857,3997,2.73919e+06,1102.15,273919
181,1841,3997,2.75776e+06,1069.63,275776
182,1820,3998,2.77617e+06,1040.18,277617
183,1812,3999,2.79437e+06,1014.22,279437
184,1798,3999,2.81249e+06,988.842,281249
185,1782,3999,2.83047e+06,965.5,283047
186,1765,3999,2.84829e+06,941.706,284829
187,1747,3999,2.86594e+06,919.626,286594
188,1730,3999,2.88341e+06,901.497,288341
189,1723,3999,2.90071e+06,883.474,290071
190,1713,3999,2.91794e+06,865.614,291794
191,1707,3999,2.93507e+06,850.098,293507
192,1696,3999,2.95214e+06,836.517,295214
193,1692,3999,2.9691e+06,821.854,296910
194,1683,3999,2.98602e+06,809.132,298602
195,1678,3999,3.00285e+06,795.718,300285
196,1672,3999,3.01963e+06,783.617,301963
197,1665,3999,3.03635e+06,769.935,303635
198,1653,3999,3.053e+06,759.383,305300
199,1648,3999,3.06953e+06,749.699,306953
200,1647,3999,3.08601e+06,739.637,308601
201,1643,3999,3.10248e+06,730.143,310248
202,1638,3999,3.11891e+06,722.841,311891
203,1632,3999,3.13529e+06,716.274,313529
204,1621,3999,3.15161e+06,709.851,315161
205,1614,3999,3.16782e+06,703.816,316782
206,1611,3999,3.18396e+06,697.183,318396
207,1609,3999,3.20007e+06,691.362,320007
208,1605,3999,3.21616e+06,685.797,321616
209,1599,3999,3.23221e+06,681.214,323221
210,1593,3999,3.2482e+06,675.367,324820
211,1585,3999,3.26413e+06,669.838,326413
212,1578,3999,3.27998e+06,664.902,327998
213,1576,3999,3.29576e+06,661.27,329576
214,1569,3999,3.31152e+06,657.368,331152
215,1565,3999,3.32721e+06,652.973,332721
216,1563,3999,3.34286e+06,649.498,334286
217,1558,3999,3.35849e+06,645.024,335849
218,1554,3999,3.37407e+06,641.118,337407
219,1551,3999,3.38961e+06,637.381,338961
220,1551,3999,3.40512e+06,633.242,340512
221,1549,3999,3.42063e+06,629.59,342063
222,1547,3999,3.43612e+06,626.598,343612
223,1546,3999,3.45159e+06,623.231,345159
224,1542,3999,3.46705e+06,620.228,346705
225,1538,3999,3.48247e+06,617.061,348247
226,1537,3999,3.49785e+06,614.869,349785
227,1533,3999,3.51322e+06,612.073,351322
228,1528,3999,3.52855e+06,609.485,352855
229,1522,3999,3.54383e+06,607.414,354383
230,1519,3999,3.55905e+06,604.566,355905
231,1516,3999,3.57424e+06,602.94,357424
232,1516,3999,3.5894e+06,600.683,358940
233,1516,3999,3.60456e+06,598.194,360456
234,1511,3999,3.61972e+06,595.297,361972
235,1511,3999,3.63483e+06,593.051,363483
236,1509,3999,3.64994e+06,590.837,364994
237,1507,3999,3.66503e+06,587.987,366503
238,1505,3999,3.6801e+06,586.173,368010
239,1498,3999,3.69515e+06,584.647,369515
240,1496,3999,3.71013e+06,583.518,371013
241,1491,3999,3.72509e+06,582.209,372509
242,1487,3999,3.74e+06,580.688,374000
243,1486,3999,3.75487e+06,579.368,375487
244,1485,3999,3.76973e+06,578.039,376973
245,1485,3999,3.78458e+06,576.827,378458
246,1485,3999,3.79943e+06,575.786,379943
247,1482,3999,3.81428e+06,574.843,381428
248,1481,3999,3.8291e+06,573.678,382910
249,1480,3999,3.84391e+06,572.7,384391
250,1473,3999,3.85871e+06,571.72,385871
251,1471,3999,3.87344e+06,570.796,387344
252,1469,3999,3.88815e+06,570.023,388815
253,1466,3999,3.90284e+06,569.175,390284
254,1466,3999,3.9175e+06,568.425,391750
255,1465,3999,3.93216e+06,567.502,393216
256,1462,3999,3.94681e+06,566.707,394681
257,1459,3999,3.96143e+06,565.611,396143
258,1457,3999,3.97602e+06,564.631,397602
259,1454,3999,3.99059e+06,564.131,399059
260,1449,3999,4.00513e+06,563.3,400513
261,1446,3999,4.01962e+06,562.559,401962
262,1438,3999,4.03408e+06,561.949,403408
263,1435,3999,4.04846e+06,561.26,404846
264,1434,3999,4.06281e+06,560.557,406281
265,1432,3999,4.07715e+06,559.785,407715
266,1429,3999,4.09147e+06,559.225,409147
267,1426,3999,4.10576e+06,558.56,410576
268,1422,3999,4.12002e+06,557.972,412002
269,1419,3999,4.13424e+06,557.402,413424
270,1415,3999,4.14843e+06,556.915,414843
271,1410,3999,4.16258e+06,556.401,416258
272,1407,3999,4.17668e+06,555.897,417668
273,1406,3999,4.19075e+06,555.605,419075
274,1405,3999,4.20481e+06,555.234,420481
275,1399,3999,4.21886e+06,554.911,421886
276,1394,3999,4.23285e+06,554.5,423285
277,1388,3999,4.24679e+06,554.024,424679
278,1386,3999,4.26067e+06,553.737,426067
279,1379,3999,4.27453e+06,553.338,427453
280,1377,3999,4.28832e+06,553.05,428832
281,1373,3999,4.30209e+06,552.825,430209
282,1367,3999,4.31582e+06,552.454,431582
283,1365,3999,4.32949e+06,552.185,432949
284,1361,3999,4.34314e+06,551.999,434314
