TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate
191,1430,1540,4.6693e+06,43768,0
192,1448,1563,4.7408e+06,42809,0
193,1457,1578,4.8132e+06,41846,0
194,1476,1599,4.88605e+06,40889,0
195,1485,1614,4.95985e+06,39921,0
196,1505,1637,5.0341e+06,38963,0
197,1523,1660,5.10935e+06,38007,0
198,1541,1680,5.1855e+06,37030,0
199,1549,1696,5.26255e+06,36063,0
200,1556,1712,5.34e+06,35106,0
201,1567,1731,5.4178e+06,34145,0
202,1574,1743,5.49615e+06,33195,0
203,1582,1757,5.57485e+06,32228,0
204,1589,1770,5.65395e+06,31286,0
205,1602,1796,5.7334e+06,30349,0
206,1608,1813,5.8135e+06,29416,0
207,1622,1831,5.8939e+06,28480,0
208,1630,1849,5.975e+06,27567,0
209,1634,1863,6.0565e+06,26660,0
210,1643,1875,6.1382e+06,25772,0
211,1643,1886,6.22035e+06,24888,0
212,1646,1899,6.3025e+06,24019,0
213,1648,1907,6.3848e+06,23170,0
214,1641,1917,6.4672e+06,22337,0
215,1641,1928,6.54925e+06,21562,0
216,1642,1940,6.6313e+06,20790,0
217,1637,1952,6.7134e+06,20015,0
218,1640,1965,6.79525e+06,19259,0
219,1639,1974,6.87725e+06,18540,0
220,1633,1982,6.9592e+06,17838,0
221,1637,1992,7.04085e+06,17159,0
222,1633,1999,7.1227e+06,16501,0
223,1629,2011,7.20435e+06,15868,0
224,1630,2023,7.2858e+06,15268,0
225,1621,2034,7.3673e+06,14692,0
226,1615,2043,7.44835e+06,14114,0
227,1601,2052,7.5291e+06,13571,0
228,1585,2057,7.60915e+06,13021,0
229,1584,2065,7.6884e+06,12511,0
230,1569,2070,7.7676e+06,12028,0
231,1554,2076,7.84605e+06,11551,0
232,1538,2084,7.92375e+06,11101,0
233,1534,2090,8.00065e+06,10670,0
234,1517,2095,8.07735e+06,10258,0
235,1508,2104,8.1532e+06,9846,0
236,1494,2108,8.2286e+06,9460,0
237,1485,2116,8.3033e+06,9100,0
238,1467,2120,8.37755e+06,8749,0
239,1438,2124,8.4509e+06,8405,0
240,1420,2130,8.5228e+06,8091,0
241,1390,2134,8.5938e+06,7799,0
242,1374,2140,8.6633e+06,7524,0
243,1352,2141,8.732e+06,7255,0
244,1332,2143,8.7996e+06,6996,0
245,1316,2145,8.8662e+06,6751,0
246,1297,2150,8.932e+06,6515,0
247,1267,2152,8.99685e+06,6298,0
248,1243,2156,9.0602e+06,6087,0
249,1204,2157,9.12235e+06,5872,0
250,1186,2158,9.18255e+06,5671,0
251,1160,2163,9.24185e+06,5479,0
252,1127,2165,9.29985e+06,5293,0
253,1106,2168,9.3562e+06,5111,0
254,1088,2168,9.4115e+06,4930,0
255,1064,2168,9.4659e+06,4744,0
256,1042,2173,9.5191e+06,4565,0
257,1014,2178,9.5712e+06,4397,0
258,996,2180,9.6219e+06,4237,0
259,971,2182,9.6717e+06,4081,0
260,947,2184,9.72025e+06,3939,0
261,919,2185,9.7676e+06,3783,0
262,897,2188,9.81355e+06,3635,0
263,858,2188,9.8584e+06,3495,0
264,827,2189,9.9013e+06,3369,0
265,786,2192,9.94265e+06,3246,0
266,765,2193,9.98195e+06,3124,0
267,750,2195,1.00202e+07,3005,0
268,722,2196,1.00577e+07,2901,0
269,696,2199,1.00938e+07,2801,0
270,674,2201,1.01286e+07,2692,0
271,648,2204,1.01623e+07,2587,0
272,628,2206,1.01947e+07,2490,0
273,613,2206,1.02261e+07,2385,0
274,596,2207,1.02568e+07,2286,0
275,577,2208,1.02866e+07,2188,0
276,560,2209,1.03154e+07,2097,0
277,537,2209,1.03434e+07,2006,0
278,517,2210,1.03702e+07,1928,0
279,494,2211,1.03961e+07,1837,0
280,473,2212,1.04208e+07,1760,0
281,453,2213,1.04444e+07,1689,0
282,439,2215,1.04671e+07,1617,0
283,420,2215,1.0489e+07,1540,0
284,402,2215,1.051e+07,1468,0
285,396,2217,1.05302e+07,1404,0
286,388,2217,1.055e+07,1341,0
287,369,2218,1.05694e+07,1284,0
288,354,2218,1.05878e+07,1225,0
289,339,2219,1.06055e+07,1168,0
290,328,2220,1.06224e+07,1119,0
291,319,2221,1.06388e+07,1069,0
292,308,2221,1.06548e+07,1028,0
293,296,2221,1.06702e+07,981,0
294,282,2221,1.0685e+07,938,0
295,272,2221,1.06991e+07,890,0
296,261,2221,1.07127e+07,844,0
297,256,2221,1.07258e+07,803,0
298,242,2221,1.07386e+07,765,0
299,233,2221,1.07506e+07,728,0
300,221,2221,1.07623e+07,696,0
301,212,2221,1.07734e+07,666,0
302,208,2221,1.0784e+07,638,0
303,201,2221,1.07944e+07,607,0
304,190,2221,1.08044e+07,581,0
305,182,2221,1.08139e+07,555,0
306,175,2221,1.0823e+07,529,0
307,172,2221,1.08318e+07,505,0
308,165,2221,1.08404e+07,483,0
309,165,2223,1.08486e+07,463,0
310,162,2223,1.08568e+07,442,0
311,154,2223,1.0865e+07,420,0
312,148,2224,1.08726e+07,403,0
313,145,2224,1.088e+07,385,0
314,139,2224,1.08873e+07,369,0
315,133,2224,1.08942e+07,357,0
316,126,2224,1.09009e+07,350,0
317,124,2224,1.09072e+07,344,0
318,118,2224,1.09134e+07,336,0
319,114,2224,1.09193e+07,330,0
320,109,2224,1.0925e+07,326,0
321,103,2225,1.09304e+07,321,0
322,100,2225,1.09356e+07,315,0
323,94,2225,1.09406e+07,309,0
324,87,2225,1.09453e+07,305,0
325,80,2225,1.09496e+07,300,0
326,75,2225,1.09536e+07,297,0
327,71,2225,1.09574e+07,293,0
328,71,2225,1.0961e+07,290,0
329,68,2225,1.09645e+07,286,0
330,66,2225,1.09679e+07,282,0
331,63,2225,1.09712e+07,281,0
332,61,2225,1.09744e+07,280,0
333,59,2225,1.09774e+07,277,0
334,58,2225,1.09804e+07,274,0
335,53,2225,1.09832e+07,273,0
336,49,2225,1.09859e+07,271,0
337,48,2225,1.09884e+07,270,0
338,43,2225,1.09908e+07,270,0
339,42,2225,1.09929e+07,268,0
340,39,2225,1.0995e+07,267,0
341,38,2225,1.0997e+07,266,0
342,37,2225,1.09988e+07,263,0
343,34,2225,1.10007e+07,262,0
344,31,2225,1.10024e+07,261,0
345,30,2225,1.1004e+07,261,0
346,29,2225,1.10054e+07,261,0
347,26,2225,1.10069e+07,260,0
348,26,2225,1.10082e+07,259,0
349,25,2225,1.10095e+07,257,0
350,24,2225,1.10108e+07,256,0
351,23,2225,1.1012e+07,254,0
352,23,2225,1.10131e+07,253,0
353,23,2225,1.10142e+07,253,0
354,23,2225,1.10154e+07,252,0
355,23,2225,1.10166e+07,250,0
356,18,2225,1.10177e+07,250,0
357,16,2225,1.10186e+07,250,0
358,15,2225,1.10194e+07,249,0
359,14,2225,1.10202e+07,248,0
360,12,2225,1.10208e+07,247,0
361,12,2225,1.10214e+07,246,0
362,10,2225,1.1022e+07,246,0
363,9,2225,1.10226e+07,246,0
364,9,2225,1.1023e+07,245,0
365,8,2225,1.10234e+07,245,0
366,7,2225,1.10238e+07,245,0
367,7,2225,1.10242e+07,245,0
368,7,2225,1.10246e+07,245,0
369,5,2225,1.10249e+07,245,0
370,4,2225,1.10252e+07,245,0
371,4,2225,1.10254e+07,245,0
372,4,2225,1.10256e+07,245,0
373,4,2225,1.10258e+07,244,0
374,4,2225,1.1026e+07,244,0
375,4,2225,1.10262e+07,244,0
376,4,2225,1.10264e+07,244,0
377,2,2225,1.10266e+07,244,0
378,2,2225,1.10266e+07,244,0
379,2,2225,1.10268e+07,244,0
380,2,2225,1.10268e+07,243,0
381,2,2225,1.1027e+07,243,0
382,2,2225,1.1027e+07,242,0
383,2,2225,1.10272e+07,242,0
384,2,2225,1.10272e+07,242,0
385,2,2225,1.10274e+07,242,0
386,2,2225,1.10274e+07,242,0
387,2,2225,1.10276e+07,242,0
388,2,2225,1.10276e+07,241,0
389,1,2225,1.10278e+07,240,0
390,1,2225,1.10278e+07,239,0
391,1,2225,1.10278e+07,238,0
392,1,2225,1.10279e+07,238,0
393,1,2225,1.1028e+07,238,0
394,1,2225,1.1028e+07,238,0
395,1,2225,1.1028e+07,238,0
396,1,2225,1.10281e+07,237,0
397,1,2225,1.10282e+07,237,0
398,1,2225,1.10282e+07,237,0
399,1,2225,1.10282e+07,237,0
400,1,2225,1.10283e+07,237,0
401,1,2225,1.10284e+07,237,0
402,1,2225,1.10284e+07,237,0
403,1,2225,1.10284e+07,236,0
404,1,2225,1.10285e+07,236,0
405,1,2225,1.10286e+07,236,0
406,1,2225,1.10286e+07,236,0
407,1,2225,1.10286e+07,236,0
408,1,2225,1.10287e+07,236,0
409,0,2225,1.10288e+07,236,0
